"winerys";"winename";"winetype";"country";"reviews";"images"
"Cartuxa";"Pêra-Manca Tinto N.V.";"Reds";"Portugal";18690;"https://images.vivino.com/thumbs/L33jsYUuTMWTMy3KoqQyXg_pb_x300.png"
"Taylor's";"Vintage Port N.V.";"Port";"Portugal";4615;"https://images.vivino.com/thumbs/VQ7GE30GRK-SC0jUoIeT-Q_pb_x300.png"
"Cartuxa";"Pêra-Manca Branco 2016";"Whites";"Portugal";1467;"https://images.vivino.com/thumbs/NMa7ylfpRD6rjKEFR6w_lw_pb_x300.png"
"Colinas de São Lourenço";"Principal Rosé Téte de Cuvée N.V.";"Rose";"Portugal";773;"https://images.vivino.com/thumbs/vmjXeGfgQiC4PiyvQX8sTw_pb_x300.png"
"Bacalhôa";"Setúbal Moscatel Roxo Superior 2003";"Dessert";"Portugal";265;"https://images.vivino.com/thumbs/0ssL66zES4S4dSg-08ermQ_pb_x300.png"
