"id";"winerys";"wine";"winetype";"country region";"averages";"reviews";"images"
"28";"Domaine Coche-Dury";"Meursault Les Rougeots 2004";"Whites";"France
·
Meursault";"4.8";"30 ratings";"https://images.vivino.com/thumbs/l5W5NRvZR_SzClIDSnG5Ag_pb_x300.png"
"29";"M. Chapoutier";"Ermitage Le Méal Blanc 2006";"Whites";"France
·
Hermitage";"4.8";"30 ratings";"https://images.vivino.com/thumbs/e8iQmynXSRq_uYHKMdPMlQ_pb_x300.png"
"30";"Château de Puligny Montrachet";"Chevalier-Montrachet Grand Cru 2008";"Whites";"France
·
Chevalier-Montrachet Grand Cru";"4.8";"29 ratings";"https://images.vivino.com/thumbs/mpBp_HteQAKsBo5MJ6JnMA_pb_x300.png"
"31";"Château Haut-Brion";"Pessac-Léognan Blanc (Grand Cru Classé de Graves) 1998";"Whites";"France
·
Pessac-Léognan";"4.8";"29 ratings";"https://images.vivino.com/thumbs/EvtJOugzTx-HZXZfdZvTsA_pb_x300.png"
"32";"Aubert";"Chardonnay Eastside 2012";"Whites";"United States
·
Russian River Valley";"4.8";"28 ratings";"https://images.vivino.com/thumbs/6JonqprfR_SMBTqliXjB7Q_pb_x300.png"
"33";"Alpha Omega";"Reserve Chardonnay 2014";"Whites";"United States
·
Napa Valley";"4.8";"27 ratings";"https://images.vivino.com/thumbs/ZdnxhNdpTeet4bwwTdFUJA_pb_x300.png"
"34";"Domaine de La Romanée-Conti";"Montrachet Grand Cru 1989";"Whites";"France
·
Montrachet Grand Cru";"4.8";"27 ratings";"https://images.vivino.com/thumbs/rORmihtxSrKG7SfuI0bD6w_pb_x300.png"
"35";"Raveneau";"Chablis Premier Cru 'Butteaux' 2001";"Whites";"France
·
Chablis 1er Cru 'Butteaux'";"4.8";"26 ratings";"https://images.vivino.com/thumbs/eBzMh3SOSDGAmJv0cg2vnw_pb_x300.png"
"36";"Domaine Coche-Dury";"Corton-Charlemagne Grand Cru 1998";"Whites";"France
·
Corton-Charlemagne Grand Cru";"4.8";"26 ratings";"https://images.vivino.com/thumbs/QIs0hHhdRHubnyUjY8U2kA_pb_x300.png"
"37";"Franz Hirtzberger";"Singerriedel - Riesling Smaragd 2002";"Whites";"Austria
·
Wachau";"4.8";"26 ratings";"https://images.vivino.com/thumbs/W7Tblf6DSU6rZjeCpIkJ8Q_pb_x300.png"
"38";"F.X. Pichler";"Unendlich Riesling 2017";"Whites";"Austria
·
Wachau";"4.8";"26 ratings";"https://images.vivino.com/thumbs/Clc1N_neRBq_orOAKw9aqg_pb_x300.png"
"39";"Louis Jadot";"Bâtard-Montrachet Grand Cru 2003";"Whites";"France
·
Bâtard-Montrachet Grand Cru";"4.8";"25 ratings";"https://images.vivino.com/thumbs/RIMuIFwaQVa-HkHKNztfxA_pb_x300.png"
"40";"Domaine de La Romanée-Conti";"Montrachet Grand Cru N.V.";"Whites";"France
·
Montrachet Grand Cru";"4.7";"1249 ratings";"https://images.vivino.com/thumbs/rORmihtxSrKG7SfuI0bD6w_pb_x300.png"
"41";"Domaine Coche-Dury";"Meursault Les Rougeots N.V.";"Whites";"France
·
Meursault";"4.7";"711 ratings";"https://images.vivino.com/thumbs/l5W5NRvZR_SzClIDSnG5Ag_pb_x300.png"
"42";"Hundred Acre";"Gold Chardonnay N.V.";"Whites";"United States
·
Napa Valley";"4.7";"481 ratings";"https://images.vivino.com/highlights/icon/top_ranked.svg"
"43";"F.X. Pichler";"Unendlich Riesling N.V.";"Whites";"Austria
·
Wachau";"4.7";"428 ratings";"https://images.vivino.com/thumbs/Clc1N_neRBq_orOAKw9aqg_pb_x300.png"
"44";"Jarvis";"Estate Finch Hollow Chardonnay (Cave Fermented) N.V.";"Whites";"United States
·
Napa Valley";"4.7";"375 ratings";"https://images.vivino.com/thumbs/pQ_92smWRKG7Y7h5_ZwD-w_pb_x300.png"
"45";"Domaine des Comtes Lafon";"Montrachet Grand Cru N.V.";"Whites";"France
·
Montrachet Grand Cru";"4.7";"310 ratings";"https://images.vivino.com/thumbs/7NGox10_SBWN1jRRD_dCdw_pb_x300.png"
"46";"Gaja";"Gaia & Rey Langhe 2011";"Whites";"Italy
·
Langhe";"4.7";"299 ratings";"https://images.vivino.com/thumbs/5K9sXX9CQ8eonyEU71IlDA_pb_x300.png"
"47";"Marqués de Murrieta";"Castillo Ygay Gran Reserva Especial Blanco 1986";"Whites";"Spain
·
Rioja";"4.7";"254 ratings";"https://images.vivino.com/thumbs/G3MU5UwBQ1eCX5A6CiPivg_pb_x300.png"
"48";"Keller";"G-Max Riesling N.V.";"Whites";"Germany
·
Rheinhessen";"4.7";"192 ratings";"https://images.vivino.com/thumbs/_tbErBvfQ3CcDGgJf-I6Dw_pb_x300.png"
"49";"Domaine Coche-Dury";"Meursault Les Perrieres N.V.";"Whites";"France
·
Meursault";"4.7";"184 ratings";"https://images.vivino.com/thumbs/iDfiF6ocQuOzhLbXXKWtPQ_pb_x300.png"
"50";"Domaine Coche-Dury";"Meursault Premier Cru Caillerets N.V.";"Whites";"France
·
Meursault Premier Cru";"4.7";"151 ratings";"https://images.vivino.com/thumbs/dh7QiwynR8CgMU95ENU7Bg_pb_x300.png"
"51";"Domaine Leflaive";"Bâtard-Montrachet Grand Cru 2011";"Whites";"France
·
Bâtard-Montrachet Grand Cru";"4.7";"130 ratings";"https://images.vivino.com/thumbs/EDQ4q_3FQ568NVspQBECug_pb_x300.png"
"52";"Marcassin";"Marcassin Vineyard Chardonnay 2011";"Whites";"United States
·
Sonoma Coast";"4.7";"118 ratings";"https://images.vivino.com/thumbs/JFRTPDUcTFiLFvtMXT-4Cg_pb_x300.png"
"53";"Domaine de La Romanée-Conti";"Montrachet Grand Cru 2008";"Whites";"France
·
Montrachet Grand Cru";"4.7";"107 ratings";"https://images.vivino.com/thumbs/rORmihtxSrKG7SfuI0bD6w_pb_x300.png"
"54";"Rafael Palacios";"Sorte O Soro Val do Bibei 2014";"Whites";"Spain
·
Valdeorras";"4.7";"95 ratings";"https://images.vivino.com/thumbs/zIh4iW-pRNim7pLF_q2QAg_pb_x300.png"
"55";"Joseph Drouhin";"Montrachet Grand Cru Marquis de Laguiche 2008";"Whites";"France
·
Montrachet Grand Cru";"4.7";"89 ratings";"https://images.vivino.com/thumbs/1QoFUeYqQaCU07v4MBx8yw_pb_x300.png"
"56";"Didier Dagueneau (Louis-Benjamin Dagueneau)";"Astéroide N.V.";"Whites";"France
·
Pouilly-Fumé";"4.7";"83 ratings";"https://images.vivino.com/thumbs/_YKu7agoT8qLq3dKrOGg8w_pb_x300.png"
"57";"Domaine Leflaive";"Puligny-Montrachet 1er Cru Les Pucelles 2000";"Whites";"France
·
Puligny-Montrachet Premier Cru";"4.7";"81 ratings";"https://images.vivino.com/thumbs/6_Co3020RKCKxGqSX8PTIQ_pb_x300.png"
"58";"Domaine d'Auvenay (Lalou Bize Leroy)";"Chevalier-Montrachet Grand Cru N.V.";"Whites";"France
·
Chevalier-Montrachet Grand Cru";"4.7";"81 ratings";"https://images.vivino.com/thumbs/oBGUJWNHRkOuTsGCj4XiCQ_pb_x300.png"
"59";"Domaine Leflaive";"Chevalier-Montrachet Grand Cru 2000";"Whites";"France
·
Chevalier-Montrachet Grand Cru";"4.7";"79 ratings";"https://images.vivino.com/thumbs/lD32nuv9Sw6sJ7eQ8M6FtA_pb_x300.png"
"60";"Domaine de La Romanée-Conti";"Montrachet Grand Cru 2009";"Whites";"France
·
Montrachet Grand Cru";"4.7";"78 ratings";"https://images.vivino.com/thumbs/rORmihtxSrKG7SfuI0bD6w_pb_x300.png"
"61";"Domaine de La Romanée-Conti";"Montrachet Grand Cru 2007";"Whites";"France
·
Montrachet Grand Cru";"4.7";"75 ratings";"https://images.vivino.com/thumbs/rORmihtxSrKG7SfuI0bD6w_pb_x300.png"
"62";"Fontaine-Gagnard";"Bâtard-Montrachet Grand Cru 2011";"Whites";"France
·
Bâtard-Montrachet Grand Cru";"4.7";"75 ratings";"https://images.vivino.com/thumbs/jWsHoj06QqmQWSwshA6ORA_pb_x300.png"
"63";"Domaine Leflaive";"Chevalier-Montrachet Grand Cru 2007";"Whites";"France
·
Chevalier-Montrachet Grand Cru";"4.7";"71 ratings";"https://images.vivino.com/thumbs/lD32nuv9Sw6sJ7eQ8M6FtA_pb_x300.png"
"64";"Domaine Coche-Dury";"Meursault Les Rougeots 2011";"Whites";"France
·
Meursault";"4.7";"67 ratings";"https://images.vivino.com/thumbs/l5W5NRvZR_SzClIDSnG5Ag_pb_x300.png"
"65";"Domaine de La Romanée-Conti";"Montrachet Grand Cru 2004";"Whites";"France
·
Montrachet Grand Cru";"4.7";"64 ratings";"https://images.vivino.com/thumbs/rORmihtxSrKG7SfuI0bD6w_pb_x300.png"
"66";"Quintarelli Giuseppe";"Veneto Amabile del Cere Passito Bianco 2003";"Whites";"Italy
·
Veneto";"4.7";"64 ratings";"https://images.vivino.com/thumbs/KCv8em8IS3Wp_w9qHpQYoQ_pb_x300.png"
"67";"Domaine Leflaive";"Montrachet Grand Cru N.V.";"Whites";"France
·
Montrachet Grand Cru";"4.7";"63 ratings";"https://images.vivino.com/thumbs/3FoKTZ4uR_a3QRU4MlC2HA_pb_x300.png"
"68";"Domaine Leflaive";"Bâtard-Montrachet Grand Cru 1999";"Whites";"France
·
Bâtard-Montrachet Grand Cru";"4.7";"62 ratings";"https://images.vivino.com/thumbs/EDQ4q_3FQ568NVspQBECug_pb_x300.png"
"69";"Joseph Drouhin";"Montrachet Grand Cru Marquis de Laguiche 2011";"Whites";"France
·
Montrachet Grand Cru";"4.7";"60 ratings";"https://images.vivino.com/thumbs/1QoFUeYqQaCU07v4MBx8yw_pb_x300.png"
"70";"Château d'Yquem";"Y 1998";"Whites";"France
·
Bordeaux Supérieur";"4.7";"60 ratings";"https://images.vivino.com/thumbs/6dP83oDrQy2Zv6es9tHp7w_pb_x300.png"
"71";"Joseph Drouhin";"Montrachet Grand Cru Marquis de Laguiche 2007";"Whites";"France
·
Montrachet Grand Cru";"4.7";"58 ratings";"https://images.vivino.com/thumbs/1QoFUeYqQaCU07v4MBx8yw_pb_x300.png"
"72";"F.X. Pichler";"Unendlich Riesling 2009";"Whites";"Austria
·
Wachau";"4.7";"58 ratings";"https://images.vivino.com/thumbs/Clc1N_neRBq_orOAKw9aqg_pb_x300.png"
"73";"Château d'Yquem";"Y 2009";"Whites";"France
·
Bordeaux Supérieur";"4.7";"53 ratings";"https://images.vivino.com/thumbs/6dP83oDrQy2Zv6es9tHp7w_pb_x300.png"
"74";"Domaine Coche-Dury";"Meursault Les Rougeots 2007";"Whites";"France
·
Meursault";"4.7";"53 ratings";"https://images.vivino.com/thumbs/l5W5NRvZR_SzClIDSnG5Ag_pb_x300.png"
"75";"Domaine des Comtes Lafon";"Meursault-Perrières Premier Cru 2011";"Whites";"France
·
Meursault Premier Cru";"4.7";"53 ratings";"https://images.vivino.com/thumbs/CHcdmEQ1QAeKnKcX96AghA_pb_x300.png"
"76";"Domaine Thénard";"Montrachet Grand Cru 2006";"Whites";"France
·
Montrachet Grand Cru";"4.7";"52 ratings";"https://images.vivino.com/thumbs/2YDGRewSSFuiQWel9WCJRw_pb_x300.png"
"77";"Quintarelli Giuseppe";"Veneto Amabile del Cere Passito Bianco 1990";"Whites";"Italy
·
Veneto";"4.7";"52 ratings";"https://images.vivino.com/thumbs/KCv8em8IS3Wp_w9qHpQYoQ_pb_x300.png"
"78";"Domaine Coche-Dury";"Meursault Les Rougeots 2006";"Whites";"France
·
Meursault";"4.7";"51 ratings";"https://images.vivino.com/thumbs/l5W5NRvZR_SzClIDSnG5Ag_pb_x300.png"
"79";"Château d'Yquem";"Y 1990";"Whites";"France
·
Bordeaux Supérieur";"4.7";"50 ratings";"https://images.vivino.com/thumbs/6dP83oDrQy2Zv6es9tHp7w_pb_x300.png"
"80";"Gaja";"Gaia & Rey Langhe 1999";"Whites";"Italy
·
Langhe";"4.7";"50 ratings";"https://images.vivino.com/thumbs/5K9sXX9CQ8eonyEU71IlDA_pb_x300.png"
"81";"Kongsgaard";"The Judge Chardonnay 2013";"Whites";"United States
·
Napa Valley";"4.7";"50 ratings";"https://images.vivino.com/thumbs/xfK7hQR7T6WJjvIIsDW21A_pb_x300.png"
"82";"Arkenstone";"NVD Blanc 2012";"Whites";"United States
·
Napa Valley";"4.7";"49 ratings";"https://images.vivino.com/thumbs/E-mLfBQTQFi1rifQPJeJZA_pb_x300.png"
"83";"Domaine Valette";"Vieilles Vignes Reserve Le Clos de Monsieur Noly Pouilly-Fuissé 2002";"Whites";"France
·
Pouilly-Fuissé";"4.7";"49 ratings";"https://images.vivino.com/thumbs/oaE_VgfGTk65ZOXcS0NU6Q_pb_x300.png"
