"id";"winerys";"wine";"winetype";"country region";"averages";"reviews";"images"
"122";"Marqués de Murrieta";"Castillo Ygay Gran Reserva Especial Blanco 1988";"Whites";"Spain
·
Rioja";"4.7";"33 ratings";"https://images.vivino.com/thumbs/G3MU5UwBQ1eCX5A6CiPivg_pb_x300.png"
"123";"Môreson";"Fym 2012";"Whites";"South Africa
·
Franschhoek";"4.8";"34 ratings";"https://images.vivino.com/thumbs/R4YsPEgZSseG0uOsb9Y8SQ_pb_x300.png"
"124";"Attis";"Attis Mar Albariño 2016";"Whites";"Spain
·
Rías Baixas";"4.7";"33 ratings";"https://images.vivino.com/thumbs/O0reA-UNSISBwMILPPcFHg_pb_x300.png"
"125";"Amiot Guy";"Chassagne-Montrachet 1er Cru 'Cailleret' 2005";"Whites";"France
·
Chassagne-Montrachet 1er Cru 'Cailleret'";"4.7";"32 ratings";"https://images.vivino.com/thumbs/UGMGQEeZTVKYOLN7etPpag_pb_x300.png"
"126";"Clemens Strobl";"Rosen (Rosenberg) Riesling 2011";"Whites";"Austria
·
Wagram";"4.7";"33 ratings";"https://images.vivino.com/thumbs/yZHA_lU4Th6EMcezK3xAog_pb_x300.png"
"127";"Moone-Tsai";"Charles Heintz Vineyard Chardonnay 2013";"Whites";"United States
·
Sonoma Coast";"4.7";"32 ratings";"https://images.vivino.com/thumbs/DX46cOq9T4mVsmEtkwbJng_pb_x300.png"
"128";"Château Haut-Brion";"Pessac-Léognan Blanc (Grand Cru Classé de Graves) 2008";"Whites";"France
·
Pessac-Léognan";"4.7";"31 ratings";"https://images.vivino.com/thumbs/EvtJOugzTx-HZXZfdZvTsA_pb_x300.png"
"129";"Château Rayas";"Châteauneuf-du-Pape Réservé Blanc 2008";"Whites";"France
·
Châteauneuf-du-Pape";"4.7";"31 ratings";"https://images.vivino.com/thumbs/EtS3QtPDQAiiFF47ROuJ0g_pb_x300.png"
"130";"Domaine Roulot";"Meursault 1er Cru 'Charmes' 2009";"Whites";"France
·
Meursault 1er Cru 'Charmes'";"4.7";"31 ratings";"https://images.vivino.com/thumbs/V_acPATYQm6TO4f97UCTdQ_pb_x300.png"
"131";"Keller";"Kirchspiel Riesling GG 2006";"Whites";"Germany
·
Rheinhessen";"4.7";"31 ratings";"https://images.vivino.com/thumbs/3hM2pVPBQBWXRixHJHp_AQ_pb_x300.png"
"132";"Cazes";"Cuvée Aimé Rivesaltes 1978";"Whites";"France
·
Rivesaltes";"4.7";"31 ratings";"https://images.vivino.com/thumbs/m4bJw5sNSaauUxP_kLt1dw_pb_x300.png"
"133";"Raveneau";"Chablis Grand Cru 'Clos' 2005";"Whites";"France
·
Chablis Grand Cru 'Les Clos'";"4.7";"31 ratings";"https://images.vivino.com/thumbs/Z3rABzWkRk66rNa_qD8IVQ_pb_x300.png"
"134";"Domaine Leflaive";"Bienvenues-Bâtard-Montrachet Grand Cru 2001";"Whites";"France
·
Bienvenues-Bâtard-Montrachet Grand Cru";"4.7";"30 ratings";"https://images.vivino.com/thumbs/qhfegylxSw6KORIIVt8Lmg_pb_x300.png"
"135";"Joseph Drouhin";"Montrachet Grand Cru Marquis de Laguiche 2014";"Whites";"France
·
Montrachet Grand Cru";"4.7";"30 ratings";"https://images.vivino.com/thumbs/1QoFUeYqQaCU07v4MBx8yw_pb_x300.png"
"136";"Domaine Leflaive";"Chevalier-Montrachet Grand Cru 2012";"Whites";"France
·
Chevalier-Montrachet Grand Cru";"4.7";"30 ratings";"https://images.vivino.com/thumbs/lD32nuv9Sw6sJ7eQ8M6FtA_pb_x300.png"
"137";"Domaine des Héritiers Louis Jadot";"Chevalier Montrachet Grand Cru Les Demoiselles 2008";"Whites";"France
·
Chevalier-Montrachet Grand Cru";"4.7";"30 ratings";"https://images.vivino.com/thumbs/wGAxsLWnT0i0p86KHxqN4A_pb_x300.png"
"138";"Jarvis";"Estate Chardonnay (Cave Fermented) 2010";"Whites";"United States
·
Napa Valley";"4.7";"30 ratings";"https://images.vivino.com/thumbs/KYXeZJ59SO2GJSkGuuKcWg_pb_x300.png"
"139";"Louis Carillon et Fils";"Bienvenues-Bâtard-Montrachet Grand Cru 2007";"Whites";"France
·
Bienvenues-Bâtard-Montrachet Grand Cru";"4.7";"30 ratings";"https://images.vivino.com/thumbs/a-Vra87gQ0OPMV75NBirHQ_pb_x300.png"
"140";"Joseph Drouhin";"Montrachet Grand Cru Marquis de Laguiche 2013";"Whites";"France
·
Montrachet Grand Cru";"4.7";"30 ratings";"https://images.vivino.com/thumbs/1QoFUeYqQaCU07v4MBx8yw_pb_x300.png"
"141";"Jarvis";"Estate Finch Hollow Unfiltered Chardonnay (Cave Fermented) 2012";"Whites";"United States
·
Napa Valley";"4.7";"30 ratings";"https://images.vivino.com/thumbs/_PoiNSZ2RPejrY1CuYd40Q_pb_x300.png"
"142";"E. Guigal";"Condrieu Luminescence 2015";"Whites";"France
·
Condrieu";"4.7";"29 ratings";"https://images.vivino.com/thumbs/0uJ-HXpdROiyzwCOStux8w_pb_x300.png"
"143";"Egon Müller - Scharzhof";"Scharzhofberger Riesling Auslese 2005";"Whites";"Germany
·
Wiltingen";"4.7";"29 ratings";"https://images.vivino.com/thumbs/V_iEN64AR7GyB20KeOkA0Q_pb_x300.png"
"144";"Bachelet-Monnot";"Bâtard-Montrachet Grand Cru 2015";"Whites";"France
·
Bâtard-Montrachet Grand Cru";"4.7";"29 ratings";"https://images.vivino.com/thumbs/N-K6WtnRTTCz-6tx9db63g_pb_x300.png"
"145";"J.M. Boillot";"Puligny-Montrachet Premier Cru Champ-Canet 2012";"Whites";"France
·
Puligny-Montrachet Premier Cru";"4.7";"29 ratings";"https://images.vivino.com/thumbs/vQpiU9BQTjytRzAhmuhhMg_pb_x300.png"
"146";"Raveneau";"Chablis Grand Cru 'Clos' 2010";"Whites";"France
·
Chablis Grand Cru 'Les Clos'";"4.7";"28 ratings";"https://images.vivino.com/thumbs/Z3rABzWkRk66rNa_qD8IVQ_pb_x300.png"
"147";"Joseph Drouhin";"Montrachet Grand Cru Marquis de Laguiche 1998";"Whites";"France
·
Montrachet Grand Cru";"4.7";"28 ratings";"https://images.vivino.com/thumbs/1QoFUeYqQaCU07v4MBx8yw_pb_x300.png"
"148";"Trimbach";"Pinot Gris Alsace Selection de Grains Nobles 2005";"Whites";"France
·
Alsace";"4.7";"28 ratings";"https://images.vivino.com/thumbs/_11CY9d7Q-OgmYa9k730-g_pb_x300.png"
"149";"Aubert";"Chardonnay Lauren 2015";"Whites";"United States
·
Sonoma Coast";"4.7";"28 ratings";"https://images.vivino.com/thumbs/2NAVcOqORIetzF7Znkt56Q_pb_x300.png"
"150";"Fontaine-Gagnard";"Criots-Bâtard-Montrachet Grand Cru 2010";"Whites";"France
·
Criots-Bâtard-Montrachet Grand Cru";"4.7";"28 ratings";"https://images.vivino.com/thumbs/P8kRvwH_SzeuLW59pwt7tg_pb_x300.png"
"151";"Raveneau";"Chablis Grand Cru 'Blanchot' 2001";"Whites";"France
·
Chablis Grand Cru 'Blanchot'";"4.7";"28 ratings";"https://images.vivino.com/thumbs/N-h7YbCuSSWSjantw5tYBA_pb_x300.png"
"152";"Chateau Boswell";"Ritchie Vineyard Chardonnay 2011";"Whites";"United States
·
Russian River Valley";"4.7";"27 ratings";"https://images.vivino.com/thumbs/86OPYU1CTYG-Bc7bkp5HLg_pb_x300.png"
"153";"Domaine Coche-Dury";"Corton-Charlemagne Grand Cru 2004";"Whites";"France
·
Corton-Charlemagne Grand Cru";"4.7";"27 ratings";"https://images.vivino.com/thumbs/QIs0hHhdRHubnyUjY8U2kA_pb_x300.png"
"154";"Hundred Acre";"Gold Chardonnay 2004";"Whites";"United States
·
Napa Valley";"4.7";"27 ratings";"https://thumbs.vivino.com/avatars/793134_171840_big_app_50x50.jpg"
"155";"Philippe Pacalet";"Meursault 2010";"Whites";"France
·
Meursault";"4.7";"27 ratings";"https://images.vivino.com/thumbs/o40igVoUTkGVXDDl0SsO9w_pb_x300.png"
"156";"Domaine de La Romanée-Conti";"Montrachet Grand Cru 2013";"Whites";"France
·
Montrachet Grand Cru";"4.7";"27 ratings";"https://images.vivino.com/thumbs/rORmihtxSrKG7SfuI0bD6w_pb_x300.png"
"157";"Jean-Claude Ramonet";"Bâtard-Montrachet Grand Cru 2014";"Whites";"France
·
Bâtard-Montrachet Grand Cru";"4.7";"26 ratings";"https://images.vivino.com/thumbs/tEeCQZd1TRGH39Pc8iOsHQ_pb_x300.png"
"158";"Raveneau";"Chablis Grand Cru 'Valmur' 2002";"Whites";"France
·
Chablis Grand Cru 'Valmur'";"4.7";"26 ratings";"https://images.vivino.com/thumbs/NvJW_m_oSouF5BbUQ6a_Yg_pb_x300.png"
"159";"Jean-Claude Ramonet";"Chassagne-Montrachet Premier Cru 'Les Vergers' 2016";"Whites";"France
·
Chassagne-Montrachet 1er Cru 'Les Vergers'";"4.7";"26 ratings";"https://images.vivino.com/thumbs/E-_IMe1XTVS0xExB7uo9aw_pb_x300.png"
"160";"Domaine de La Romanée-Conti";"Montrachet Grand Cru 1998";"Whites";"France
·
Montrachet Grand Cru";"4.7";"26 ratings";"https://images.vivino.com/thumbs/rORmihtxSrKG7SfuI0bD6w_pb_x300.png"
"161";"Domaine Michel Niellon";"Chevalier-Montrachet Grand Cru 2011";"Whites";"France
·
Chevalier-Montrachet Grand Cru";"4.7";"26 ratings";"https://images.vivino.com/thumbs/yVJhEJawSHm7K1HJC74mJw_pb_x300.png"
"162";"René Lequin-Colin";"Bâtard-Montrachet Grand Cru 2011";"Whites";"France
·
Bâtard-Montrachet Grand Cru";"4.7";"25 ratings";"https://images.vivino.com/thumbs/Rf6CcQguSxKVoJ6CmWfkgA_pb_x300.png"
"163";"Keller";"G-Max Riesling 2006";"Whites";"Germany
·
Rheinhessen";"4.7";"25 ratings";"https://images.vivino.com/thumbs/_tbErBvfQ3CcDGgJf-I6Dw_pb_x300.png"
"164";"Gaja";"Gaia & Rey Langhe 1998";"Whites";"Italy
·
Langhe";"4.7";"25 ratings";"https://images.vivino.com/thumbs/5K9sXX9CQ8eonyEU71IlDA_pb_x300.png"
"165";"Domaine Leflaive";"Bâtard-Montrachet Grand Cru 1992";"Whites";"France
·
Bâtard-Montrachet Grand Cru";"4.7";"25 ratings";"https://images.vivino.com/thumbs/EDQ4q_3FQ568NVspQBECug_pb_x300.png"
"166";"Vincent Dauvissat";"Les Preuses Chablís Grand Cru 2015";"Whites";"France
·
Chablis Grand Cru 'Preuses'";"4.7";"25 ratings";"https://images.vivino.com/thumbs/ez2hWNpgSoCisXDrJ133gQ_pb_x300.png"
"167";"Joseph Drouhin";"Montrachet Grand Cru Marquis de Laguiche 1992";"Whites";"France
·
Montrachet Grand Cru";"4.7";"25 ratings";"https://images.vivino.com/thumbs/1QoFUeYqQaCU07v4MBx8yw_pb_x300.png"
"168";"Domaine Coche-Dury";"Corton-Charlemagne Grand Cru 2003";"Whites";"France
·
Corton-Charlemagne Grand Cru";"4.7";"25 ratings";"https://images.vivino.com/thumbs/QIs0hHhdRHubnyUjY8U2kA_pb_x300.png"
"169";"Trimbach";"Clos Sainte Hune Riesling Alsace 1996";"Whites";"France
·
Alsace";"4.7";"25 ratings";"https://images.vivino.com/thumbs/sOfai0jLTaKoP_6oXtvH9w_pb_x300.png"
"170";"Shibumi Knoll Vineyards";"Chardonnay 2012";"Whites";"United States
·
Russian River Valley";"4.7";"25 ratings";"https://images.vivino.com/thumbs/iIDBsbA5Rd2cIDOKUDcMJg_pb_x300.png"
"171";"Château Rayas";"Châteauneuf-du-Pape Réservé Blanc 2004";"Whites";"France
·
Châteauneuf-du-Pape";"4.7";"25 ratings";"https://images.vivino.com/thumbs/EtS3QtPDQAiiFF47ROuJ0g_pb_x300.png"
"172";"Cartuxa";"Pêra-Manca Branco 2016";"Whites";"Portugal
·
Evora";"4.6";"1467 ratings";"https://images.vivino.com/thumbs/NMa7ylfpRD6rjKEFR6w_lw_pb_x300.png"
"173";"Domaine Leflaive";"Chevalier-Montrachet Grand Cru N.V.";"Whites";"France
·
Chevalier-Montrachet Grand Cru";"4.6";"1381 ratings";"https://images.vivino.com/thumbs/lD32nuv9Sw6sJ7eQ8M6FtA_pb_x300.png"
"174";"Marqués de Murrieta";"Castillo Ygay Gran Reserva Especial Blanco N.V.";"Whites";"Spain
·
Rioja";"4.6";"1205 ratings";"https://images.vivino.com/thumbs/G3MU5UwBQ1eCX5A6CiPivg_pb_x300.png"
"175";"Joseph Drouhin";"Montrachet Grand Cru Marquis de Laguiche N.V.";"Whites";"France
·
Montrachet Grand Cru";"4.6";"1095 ratings";"https://images.vivino.com/thumbs/1QoFUeYqQaCU07v4MBx8yw_pb_x300.png"
"176";"Marcassin";"Marcassin Vineyard Chardonnay N.V.";"Whites";"United States
·
Sonoma Coast";"4.6";"800 ratings";"https://images.vivino.com/thumbs/JFRTPDUcTFiLFvtMXT-4Cg_pb_x300.png"
"177";"Domaine Coche-Dury";"Puligny-Montrachet Les Enseignères N.V.";"Whites";"France
·
Puligny-Montrachet";"4.6";"534 ratings";"https://images.vivino.com/thumbs/rnSiwow4TqSCtPugr3mC2Q_pb_x300.png"
"178";"Cartuxa";"Pêra-Manca Branco 2007";"Whites";"Portugal
·
Evora";"4.6";"454 ratings";"https://images.vivino.com/thumbs/xILVphRlQV2wdzCZLzWg8g_pb_x300.png"
"179";"Quinta Nova";"Mirabilis Grande Reserva Branco 2016";"Whites";"Portugal
·
Douro";"4.6";"437 ratings";"https://images.vivino.com/thumbs/0ALT9VhMQKiwYgkRtsJ7nA_pb_x300.png"
"180";"Raveneau";"Chablis Grand Cru 'Clos' N.V.";"Whites";"France
·
Chablis Grand Cru 'Les Clos'";"4.6";"379 ratings";"https://images.vivino.com/thumbs/Z3rABzWkRk66rNa_qD8IVQ_pb_x300.png"
"181";"Quinta Nova";"Mirabilis Grande Reserva Branco 2015";"Whites";"Portugal
·
Douro";"4.6";"344 ratings";"https://images.vivino.com/thumbs/0ALT9VhMQKiwYgkRtsJ7nA_pb_x300.png"
"182";"Kongsgaard";"The Judge Chardonnay N.V.";"Whites";"United States
·
Napa Valley";"4.6";"337 ratings";"https://images.vivino.com/thumbs/xfK7hQR7T6WJjvIIsDW21A_pb_x300.png"
"183";"Gaja";"Gaia & Rey Langhe 2006";"Whites";"Italy
·
Langhe";"4.6";"272 ratings";"https://images.vivino.com/thumbs/5K9sXX9CQ8eonyEU71IlDA_pb_x300.png"
"184";"Domaine d'Auvenay (Lalou Bize Leroy)";"Meursault Les Narvaux N.V.";"Whites";"France
·
Meursault";"4.6";"252 ratings";"https://images.vivino.com/thumbs/EwrsnmmTSFWBou70XCC1kw_pb_x300.png"
"185";"Domaine Thénard";"Montrachet Grand Cru N.V.";"Whites";"France
·
Montrachet Grand Cru";"4.6";"243 ratings";"https://images.vivino.com/thumbs/2YDGRewSSFuiQWel9WCJRw_pb_x300.png"
"186";"Domaine Coche-Dury";"Meursault Blanc 2009";"Whites";"France
·
Meursault";"4.6";"234 ratings";"https://images.vivino.com/thumbs/RqOPX5tRQOyZ9XN3hjhMCA_pb_x300.png"
"187";"Jean-Claude Ramonet";"Montrachet Grand Cru N.V.";"Whites";"France
·
Montrachet Grand Cru";"4.6";"227 ratings";"https://images.vivino.com/thumbs/xo7SehG9R4Wy7GktKzt5BQ_pb_x300.png"
"188";"Dr. Bürklin-Wolf";"Kirchenstück G.C N.V.";"Whites";"Germany
·
Pfalz";"4.6";"228 ratings";"https://images.vivino.com/thumbs/jG06hN5hRp6-N7_G28xkow_pb_x300.png"
"189";"Kongsgaard";"Chardonnay 2015";"Whites";"United States
·
Napa Valley";"4.6";"218 ratings";"https://images.vivino.com/thumbs/xVKeSYrDTIOOjSPciQG0SA_pb_x300.png"
"190";"Domaine Coche-Dury";"Meursault Blanc 2011";"Whites";"France
·
Meursault";"4.6";"214 ratings";"https://images.vivino.com/thumbs/RqOPX5tRQOyZ9XN3hjhMCA_pb_x300.png"
"191";"Solo Quinta";"Branco 2018";"Whites";"Romania
·
Recas";"4.6";"213 ratings";"https://images.vivino.com/thumbs/DkwMnk83QEam4EJNpotl_g_pb_x300.png"
"192";"Gaja";"Gaia & Rey Langhe 2009";"Whites";"Italy
·
Langhe";"4.6";"208 ratings";"https://images.vivino.com/thumbs/5K9sXX9CQ8eonyEU71IlDA_pb_x300.png"
"193";"Trimbach";"Clos Sainte Hune Riesling Alsace 2006";"Whites";"France
·
Alsace";"4.6";"207 ratings";"https://images.vivino.com/thumbs/sOfai0jLTaKoP_6oXtvH9w_pb_x300.png"
"194";"J.M. Boillot";"Bâtard-Montrachet Grand Cru N.V.";"Whites";"France
·
Bâtard-Montrachet Grand Cru";"4.6";"205 ratings";"https://images.vivino.com/thumbs/0U-VMcXeQq-lAitS3Zv_Pg_pb_x300.png"
"195";"Aubert";"Chardonnay CIX N.V.";"Whites";"United States
·
Sonoma Coast";"4.6";"203 ratings";"https://images.vivino.com/thumbs/mPWBSs3FQHuG52fEionjYQ_pb_x300.png"
"196";"Aubert";"Chardonnay Eastside N.V.";"Whites";"United States
·
Russian River Valley";"4.6";"200 ratings";"https://images.vivino.com/thumbs/6JonqprfR_SMBTqliXjB7Q_pb_x300.png"
"197";"Franz Hirtzberger";"Singerriedel - Riesling Smaragd 2013";"Whites";"Austria
·
Wachau";"4.6";"196 ratings";"https://images.vivino.com/thumbs/W7Tblf6DSU6rZjeCpIkJ8Q_pb_x300.png"
"198";"Peter Michael";"Cuvée Indigène Chardonnay N.V.";"Whites";"United States
·
Knights Valley";"4.6";"192 ratings";"https://images.vivino.com/thumbs/cCbTIg1uS2CWm9KYZ0uKXQ_pb_x300.png"
"199";"Olivier Leflaive";"Montrachet Grand Cru N.V.";"Whites";"France
·
Montrachet Grand Cru";"4.6";"190 ratings";"https://images.vivino.com/thumbs/AzV_MtQeRMek7hwD4cmdzw_pb_x300.png"
"200";"Franz Hirtzberger";"Singerriedel - Riesling Smaragd 2011";"Whites";"Austria
·
Wachau";"4.6";"179 ratings";"https://images.vivino.com/thumbs/W7Tblf6DSU6rZjeCpIkJ8Q_pb_x300.png"
"201";"René Lequin-Colin";"Bâtard-Montrachet Grand Cru N.V.";"Whites";"France
·
Bâtard-Montrachet Grand Cru";"4.6";"175 ratings";"https://images.vivino.com/thumbs/Rf6CcQguSxKVoJ6CmWfkgA_pb_x300.png"
"202";"Sadie Family";"Palladius 2010";"Whites";"South Africa
·
Swartland";"4.6";"172 ratings";"https://images.vivino.com/thumbs/d4sKYj3CTA68vBBdabj-Ng_pb_x300.png"
"203";"Marqués de Murrieta";"Castillo Ygay Gran Reserva Especial Blanco 2009";"Whites";"Spain
·
Rioja";"4.6";"166 ratings";"https://images.vivino.com/thumbs/G3MU5UwBQ1eCX5A6CiPivg_pb_x300.png"
"204";"Domaine Coche-Dury";"Meursault Blanc 2012";"Whites";"France
·
Meursault";"4.6";"163 ratings";"https://images.vivino.com/thumbs/RqOPX5tRQOyZ9XN3hjhMCA_pb_x300.png"
"205";"Vincent Girardin";"Chevalier-Montrachet Grand Cru Blanc N.V.";"Whites";"France
·
Chevalier-Montrachet Grand Cru";"4.6";"163 ratings";"https://images.vivino.com/thumbs/y9Nr0qD6TISYL4H3X2biZA_pb_x300.png"
"206";"Château d'Yquem";"Y 2013";"Whites";"France
·
Bordeaux Supérieur";"4.6";"157 ratings";"https://images.vivino.com/thumbs/6dP83oDrQy2Zv6es9tHp7w_pb_x300.png"
"207";"Fattoria San Lorenzo";"Il San Lorenzo Bianco 2004";"Whites";"Italy
·
Marche";"4.6";"157 ratings";"https://images.vivino.com/thumbs/YL3ZizVbTbK1htyrRBjTLA_pb_x300.png"
"208";"Domaine Coche-Dury";"Meursault Blanc 2010";"Whites";"France
·
Meursault";"4.6";"156 ratings";"https://images.vivino.com/thumbs/RqOPX5tRQOyZ9XN3hjhMCA_pb_x300.png"
"209";"Domaine des Comtes Lafon";"Meursault-Charmes Premier Cru 2011";"Whites";"France
·
Meursault Premier Cru";"4.6";"155 ratings";"https://images.vivino.com/thumbs/dvfj6Iw2QoGHm0BQEl8IEA_pb_x300.png"
"210";"Didier Dagueneau (Louis-Benjamin Dagueneau)";"Silex 2006";"Whites";"France
·
Pouilly-Fumé";"4.6";"150 ratings";"https://images.vivino.com/thumbs/zNS7GA_qSZu0G0xzfro8dw_pb_x300.png"
"211";"Didier Dagueneau (Louis-Benjamin Dagueneau)";"Silex 2005";"Whites";"France
·
Pouilly-Fumé";"4.6";"145 ratings";"https://images.vivino.com/thumbs/zNS7GA_qSZu0G0xzfro8dw_pb_x300.png"
"212";"Marcassin";"Marcassin Vineyard Chardonnay 2012";"Whites";"United States
·
Sonoma Coast";"4.6";"138 ratings";"https://images.vivino.com/thumbs/JFRTPDUcTFiLFvtMXT-4Cg_pb_x300.png"
"213";"Domaine Serene";"Coeur Blanc N.V.";"Whites";"United States
·
Dundee Hills";"4.6";"135 ratings";"https://images.vivino.com/thumbs/m2n32SOjSueMSSVUUfqhVg_pb_x300.png"
"214";"Château de Beaucastel";"Vieilles Vignes Châteauneuf-du-Pape Blanc 2014";"Whites";"France
·
Châteauneuf-du-Pape";"4.6";"135 ratings";"https://images.vivino.com/thumbs/D4fu0T3sTHSdQ8xDBj4ROQ_pb_x300.png"
"215";"Domaine Coche-Dury";"Meursault Blanc 2006";"Whites";"France
·
Meursault";"4.6";"133 ratings";"https://images.vivino.com/thumbs/RqOPX5tRQOyZ9XN3hjhMCA_pb_x300.png"
"216";"Domaine Leflaive";"Chevalier-Montrachet Grand Cru 2009";"Whites";"France
·
Chevalier-Montrachet Grand Cru";"4.6";"133 ratings";"https://images.vivino.com/thumbs/lD32nuv9Sw6sJ7eQ8M6FtA_pb_x300.png"
"217";"Domaine Coche-Dury";"Meursault Premier Cru Genevrieres N.V.";"Whites";"France
·
Meursault Premier Cru";"4.6";"130 ratings";"https://images.vivino.com/thumbs/F46A0w4qSHeUx9jZ3D-JpA_pb_x300.png"
"218";"Lucien le Moine";"Batard-Montrachet Grand Cru N.V.";"Whites";"France
·
Bâtard-Montrachet Grand Cru";"4.6";"130 ratings";"https://images.vivino.com/thumbs/4OLpxNskRsW9fBdFGlMrBQ_pb_x300.png"
"219";"Domaine Coche-Dury";"Meursault Blanc 2005";"Whites";"France
·
Meursault";"4.6";"127 ratings";"https://images.vivino.com/thumbs/RqOPX5tRQOyZ9XN3hjhMCA_pb_x300.png"
"220";"Raveneau";"Chablis Premier Cru 'Butteaux' 2013";"Whites";"France
·
Chablis 1er Cru 'Butteaux'";"4.6";"126 ratings";"https://images.vivino.com/thumbs/eBzMh3SOSDGAmJv0cg2vnw_pb_x300.png"
"221";"Ken Forrester";"The FMC Chenin Blanc 2009";"Whites";"South Africa
·
Stellenbosch";"4.6";"126 ratings";"https://images.vivino.com/thumbs/PSJ4rCFvRcaUWmX0-6USNA_pb_x300.png"
"222";"Marcassin";"Marcassin Vineyard Chardonnay 2010";"Whites";"United States
·
Sonoma Coast";"4.6";"123 ratings";"https://images.vivino.com/thumbs/JFRTPDUcTFiLFvtMXT-4Cg_pb_x300.png"
"223";"Marc Colin";"Bâtard-Montrachet Grand Cru N.V.";"Whites";"France
·
Bâtard-Montrachet Grand Cru";"4.6";"122 ratings";"https://images.vivino.com/thumbs/z5nNncTkSIiEpnNAKswiHA_pb_x300.png"
"224";"Mullineux";"Leeu Passant Elandskloof Chardonnay 2016";"Whites";"South Africa
·
Overberg";"4.6";"120 ratings";"https://images.vivino.com/thumbs/Cj9S8xx7SAuLtiCznUN3yg_pb_x300.png"
"225";"Quinta Maria Izabel";"Vinhas da Princesa Branco 2014";"Whites";"Portugal
·
Douro";"4.6";"119 ratings";"https://images.vivino.com/thumbs/7DSdF1j0Sm62JBcIG7lpUA_pb_x300.png"
"226";"Château d'Yquem";"Y 2005";"Whites";"France
·
Bordeaux Supérieur";"4.6";"117 ratings";"https://images.vivino.com/thumbs/6dP83oDrQy2Zv6es9tHp7w_pb_x300.png"
"227";"Louis Latour";"Corton-Charlemagne Grand Cru 2012";"Whites";"France
·
Corton-Charlemagne Grand Cru";"4.6";"116 ratings";"https://images.vivino.com/thumbs/8UJCVdBiRTKm9LMYcZHAsQ_pb_x300.png"
"228";"Domaine des Comtes Lafon";"Meursault-Charmes Premier Cru 2010";"Whites";"France
·
Meursault Premier Cru";"4.6";"114 ratings";"https://images.vivino.com/thumbs/dvfj6Iw2QoGHm0BQEl8IEA_pb_x300.png"
"229";"Domaine des Héritiers Louis Jadot";"Corton-Charlemagne Grand Cru 2012";"Whites";"France
·
Corton-Charlemagne Grand Cru";"4.6";"111 ratings";"https://images.vivino.com/thumbs/BUXBYkO4TEaOSKHBjRjqRQ_pb_x300.png"
"230";"Marcassin";"Marcassin Vineyard Chardonnay 2009";"Whites";"United States
·
Sonoma Coast";"4.6";"111 ratings";"https://images.vivino.com/thumbs/JFRTPDUcTFiLFvtMXT-4Cg_pb_x300.png"
"231";"Domaine Leflaive";"Chevalier-Montrachet Grand Cru 2011";"Whites";"France
·
Chevalier-Montrachet Grand Cru";"4.6";"110 ratings";"https://images.vivino.com/thumbs/lD32nuv9Sw6sJ7eQ8M6FtA_pb_x300.png"
"232";"Bonneau du Martray";"Corton-Charlemagne Grand Cru 2016";"Whites";"France
·
Corton-Charlemagne Grand Cru";"4.6";"110 ratings";"https://images.vivino.com/thumbs/oIEEHLtPQgidLfcJEoYalg_pb_x300.png"
"233";"St. Michael-Eppan";"Appius 2011";"Whites";"Italy
·
Südtirol - Alto Adige";"4.6";"108 ratings";"https://images.vivino.com/thumbs/ceXWLNRNQreXida6Gd40cQ_pb_x300.png"
"234";"Clos Rougeard";"Brézé Saumur Blanc 2011";"Whites";"France
·
Saumur";"4.6";"108 ratings";"https://images.vivino.com/thumbs/tUOECBfBTuCJzAegm2aK5A_pb_x300.png"
"235";"Giaconda";"Estate Vineyard Chardonnay 2013";"Whites";"Australia
·
Beechworth";"4.6";"107 ratings";"https://images.vivino.com/thumbs/sG8QtW-zTdCtddOUYgs_hw_pb_x300.png"
"236";"Keller";"Kirchspiel Riesling GG 2012";"Whites";"Germany
·
Rheinhessen";"4.6";"107 ratings";"https://images.vivino.com/thumbs/3hM2pVPBQBWXRixHJHp_AQ_pb_x300.png"
"237";"Domaine Coche-Dury";"Meursault Blanc 2015";"Whites";"France
·
Meursault";"4.6";"104 ratings";"https://images.vivino.com/thumbs/RqOPX5tRQOyZ9XN3hjhMCA_pb_x300.png"
"238";"Peter Michael";"Point Rouge Chardonnay N.V.";"Whites";"United States
·
Knights Valley";"4.7";"103 ratings";"https://images.vivino.com/thumbs/e9g2mO0jSYaN_uyUliRDhw_pb_x300.png"
"239";"Pahlmeyer";"Napa Valley Chardonnay 2010";"Whites";"United States
·
Napa Valley";"4.6";"102 ratings";"https://images.vivino.com/thumbs/gAydmmSBTr-4FbYj9An_eA_pb_x300.png"
"240";"Terlan (Terlano)";"Pinot Bianco 2002";"Whites";"Italy
·
Südtirol - Alto Adige";"4.6";"99 ratings";"https://images.vivino.com/thumbs/iRzZ0304SXKh9ta8tsn0hg_pb_x300.png"
"241";"Domaine Valette";"Vieilles Vignes Reserve Le Clos de Monsieur Noly Pouilly-Fuissé 2005";"Whites";"France
·
Pouilly-Fuissé";"4.6";"98 ratings";"https://images.vivino.com/thumbs/oaE_VgfGTk65ZOXcS0NU6Q_pb_x300.png"
"242";"Peter Michael";"Belle Côte Chardonnay 2013";"Whites";"United States
·
Knights Valley";"4.6";"98 ratings";"https://images.vivino.com/thumbs/EWNIy5joRa-TxGeICF4Kxw_pb_x300.png"
